PriorityRank,Keyword,AdPotentialScore,Tier,HitConfidence,ExpectedAdType,AdSignal,CPC,Volume,Intents,SERP Features,Category,Source Batch,sc_AdPresence,sc_CPC,sc_Intent,sc_Volume,sc_Lexical
1,hot water systems near me,96,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $3.50 | Transactional+Commercial+Local,3.5,1300,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Local pack,People also ask,Sitelinks,Bottom ads,Paid sitelinks,Shopping Ads,Thumbnail,Video preview",Home appliances,Batch 3 (3D printer),45,26,12,5,8
2,emergency plumber melbourne,91,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $8.00 | Transactional+Commercial+Local,8.0,1000,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask,Bottom ads",Plumbing,Batch 2 (24hr accountant),36,30,12,5,8
3,public liability insurance,90,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $11.00 | Transactional+Commercial+Local,11.0,24000,"Informational,Commercial,Transactional,Non-branded,Non-local","Top ads,Thumbnail,AI Overview,People also ask,Paid sitelinks,Video preview,Bottom ads",Risk; Insurance,Batch 2 (24hr accountant),36,30,11,5,8
4,car insurance quotes,90,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $10.00 | Transactional+Commercial+Local,10.0,30000,"Informational,Commercial,Transactional,Non-branded,Non-local","Top ads,People also ask,Bottom ads,Paid sitelinks,Video preview",Vehicle insurance,Batch 5 (AAMI insurance),36,30,11,5,8
5,car insurance quote,90,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $10.00 | Transactional+Commercial+Local,10.0,18000,"Informational,Commercial,Transactional,Non-branded,Non-local","Top ads,People also ask,Bottom ads,Paid sitelinks,Video preview",Vehicle insurance,Batch 2 (24hr accountant),36,30,11,5,8
6,aami car insurance,86,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $6.00 | Transactional+Commercial+Local,6.0,29000,"Informational,Navigational,Commercial,Transactional,Branded,Non-local","Top ads,People also ask,Bottom ads,Paid sitelinks,Sitelinks,Video preview",Vehicle insurance,Batch 5 (AAMI insurance),36,26,11,5,8
7,health insurance australia,85,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $9.00 | Commercial+Local,9.0,6600,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,AI Overview,Thumbnail,People also ask,Bottom ads,Video preview",Health insurance,Batch 5 (AAMI insurance),36,30,6,5,8
8,plumber perth,85,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $7.00 | Commercial+Local,7.0,2200,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask,Bottom ads",Plumbing,Batch 2 (24hr accountant),36,30,6,5,8
9,solar panels,84,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $1.40 | Transactional+Commercial+Local,1.4,20000,"Informational,Commercial,Transactional,Non-branded,Non-local","Top ads,Paid sitelinks,Shopping,Thumbnail,People also ask,Shopping Ads,Video preview,Bottom ads",Home improvement; Shopping,Batch 3 (3D printer),45,15,11,5,8
10,income protection insurance,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $18.00 | Commercial+Local,18.0,14000,"Informational,Commercial,Non-branded,Non-local","Top ads,Paid sitelinks,AI Overview,Thumbnail,People also ask,Discussions,Bottom ads,Video preview",Life insurance,Batch 2 (24hr accountant),36,30,4,5,8
11,home insurance,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $15.00 | Transactional+Commercial+Local,15.0,35000,"Informational,Commercial,Transactional,Non-branded,Non-local","Top ads,Bottom ads,Video preview",Home insurance,Batch 2 (24hr accountant),29,30,11,5,8
12,health insurance,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $12.00 | Commercial+Local,12.0,34000,"Informational,Commercial,Non-branded,Non-local","Top ads,Paid sitelinks,People also ask,Bottom ads,Knowledge panel,Video preview",Health insurance,Batch 5 (AAMI insurance),36,30,4,5,8
13,private health insurance,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $12.00 | Commercial+Local,12.0,31000,"Informational,Commercial,Non-branded,Non-local","Top ads,Paid sitelinks,People also ask,Bottom ads,Video preview",Health insurance,Batch 5 (AAMI insurance),36,30,4,5,8
14,compare health insurance,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $11.00 | Commercial+Local,11.0,8600,"Informational,Commercial,Non-branded,Non-local","Top ads,People also ask,Bottom ads,Paid sitelinks",Health insurance,Batch 5 (AAMI insurance),36,30,4,5,8
15,landlord insurance,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $10.00 | Commercial+Local,10.0,20000,"Informational,Commercial,Non-branded,Non-local","Top ads,Paid sitelinks,Sitelinks,People also ask,Bottom ads,Video preview",Home insurance,Batch 2 (24hr accountant),36,30,4,5,8
